,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
1991,yolov5m,onnxruntime_gpu_pascal,8,162.04078435897821,114.9096488952636,116.3855791091919,123.02002906799311
1992,yolov5m,onnxruntime_gpu_pascal,9,178.00084114074699,127.18939781188959,128.527021408081,129.545783996582
1993,yolov5m,onnxruntime_gpu_pascal,10,206.6511702537536,139.6183967590332,141.2825584411621,142.1738147735595
1994,yolov5m,onnxruntime_gpu_pascal,11,200.18960475921628,150.9305238723755,154.8560857772827,155.5896639823913
1995,yolov5m,onnxruntime_gpu_pascal,12,208.3580589294433,159.1852903366089,160.8753442764282,161.9747161865234
1996,yolov5m,onnxruntime_gpu_pascal,13,222.8472876548767,171.9064712524414,174.57654476165771,176.6224741935729
1997,yolov5m,onnxruntime_gpu_pascal,14,236.878821849823,182.9690933227539,187.46480941772458,188.9068722724914
1998,yolov5m,onnxruntime_gpu_pascal,15,252.58527278900138,197.7549791336059,200.601577758789,201.7127633094787
1999,yolov5m,onnxruntime_gpu_pascal,16,279.5910406112671,210.1861238479614,213.16943168640128,215.1968955993652
2000,yolov5m,onnxruntime_gpu_pascal,17,290.9740924835205,230.4728031158447,232.6100349426269,233.8957071304321
2001,yolov5m,onnxruntime_gpu_pascal,18,300.4841780662536,242.621898651123,246.52221202850342,249.3254542350769
2002,yolov5m,onnxruntime_gpu_pascal,19,317.235631942749,254.0305852890014,257.4920177459717,259.74563360214233
2003,yolov5m,onnxruntime_gpu_pascal,20,326.17661237716675,266.6472196578979,269.3541526794433,270.9844708442688
2004,yolov5m,onnxruntime_gpu_pascal,21,338.89791965484613,278.6478996276855,281.9038867950439,283.71281623840326
2005,yolov5m,onnxruntime_gpu_pascal,22,353.7490510940552,292.5533056259155,295.1785564422607,296.772027015686
2006,yolov5m,onnxruntime_gpu_pascal,23,367.2378706932068,303.8690090179443,307.58652687072754,310.45928001403786
2007,yolov5m,onnxruntime_gpu_pascal,24,375.3831815719604,315.4690265655517,319.86443996429443,324.780523777008
2008,yolov5m,onnxruntime_gpu_pascal,25,394.0469980239868,327.2396326065063,330.5924415588379,354.4593930244445
2009,yolov5m,onnxruntime_gpu_pascal,26,423.4171938896179,339.9420976638794,342.900013923645,383.111822605133
2010,yolov5m,onnxruntime_gpu_pascal,27,418.1065678596496,352.758526802063,356.4193487167358,378.8833856582641
2011,yolov5m,onnxruntime_gpu_pascal,28,424.2050862312317,365.1642799377441,369.2585468292236,399.82638359069824
2012,yolov5m,onnxruntime_gpu_pascal,29,441.9719171524048,377.6266574859619,381.8602561950683,385.154116153717
2013,yolov5m,onnxruntime_gpu_pascal,30,450.8406448364258,390.0284767150879,393.5248136520385,397.3795890808105
2014,yolov5m,onnxruntime_gpu_pascal,31,465.3707790374756,400.8153676986694,406.1543703079223,454.1069746017456
2015,yolov5m,onnxruntime_gpu_pascal,32,484.3100047111511,415.0993824005127,420.42760848999023,469.0309762954712
2016,yolov5m,onnxruntime_gpu_pascal,33,503.94201517105097,436.381459236145,442.2118186950683,463.9623045921325
2017,yolov5m,onnxruntime_gpu_pascal,34,516.7264294624329,447.7642774581909,453.2130718231201,490.3953909873962
