,Model,Accel,batchsize,avg_runtime,50th_pct,90th_pct,95th_pct
606,genderNet_13,onnxruntime_cpu,17,34.8539087772369,33.7851047515869,34.0229034423828,34.126305580139096
607,genderNet_13,onnxruntime_cpu,18,35.570391893386805,34.453272819519,34.7459554672241,34.820246696472104
608,genderNet_13,onnxruntime_cpu,19,37.876754283905,36.815404891967695,37.1686458587646,37.2661709785461
609,genderNet_13,onnxruntime_cpu,20,38.6397452354431,37.5694036483764,38.260889053344705,38.466453552245994
610,genderNet_13,onnxruntime_cpu,21,40.780770778656,39.7570133209228,40.089774131774895,40.183401107788
611,genderNet_13,onnxruntime_cpu,22,42.2271659374237,41.0777330398559,41.364288330078104,41.4503216743469
612,genderNet_13,onnxruntime_cpu,23,43.5303015708923,42.3924922943115,42.6679611206054,42.7554488182067
613,genderNet_13,onnxruntime_cpu,24,44.214282989501896,43.004035949706996,43.248701095581005,43.297791481017995
614,genderNet_13,onnxruntime_cpu,25,46.339537858963,45.0758934020996,45.3964710235595,45.5298423767089
615,genderNet_13,onnxruntime_cpu,26,46.9693777561187,45.6576347351074,45.9152221679687,45.9532856941223
616,genderNet_13,onnxruntime_cpu,27,48.127635955810504,46.752333641052196,46.944475173950096,46.9820261001586
617,genderNet_13,onnxruntime_cpu,28,49.2352578639984,47.9308366775512,48.056936264038,48.0942964553833
618,genderNet_13,onnxruntime_cpu,29,50.2302856445312,48.9782094955444,49.0894556045532,49.127197265625
619,genderNet_13,onnxruntime_cpu,30,51.4138088226318,50.046682357788,50.181722640991204,50.2382159233093
620,genderNet_13,onnxruntime_cpu,31,52.5704247951507,51.1767864227294,51.3117551803588,51.3610959053039
621,genderNet_13,onnxruntime_cpu,32,53.5833461284637,52.1023273468017,52.1929740905761,52.2201776504516
622,genderNet_13,onnxruntime_cpu,33,63.7091126441955,62.2327327728271,62.444233894348095,62.5126838684082
623,genderNet_13,onnxruntime_cpu,34,64.4024550914764,62.8958940505981,63.1378889083862,63.200986385345395
624,genderNet_13,onnxruntime_cpu,35,66.7104058265686,65.1326179504394,65.34888744354241,65.4076933860778
625,genderNet_13,onnxruntime_cpu,36,66.0413129329681,64.3901824951171,64.4832134246826,64.5101189613342
626,genderNet_13,onnxruntime_cpu,37,66.9034812450408,65.2086734771728,65.30461311340329,65.3449177742004
627,genderNet_13,onnxruntime_cpu,38,69.6623523235321,68.06480884552,68.163251876831,68.195354938507
628,genderNet_13,onnxruntime_cpu,39,70.2350676059722,68.476915359497,68.57278347015381,68.6142563819885
629,genderNet_13,onnxruntime_cpu,40,71.5039777755737,69.7646141052246,69.9692487716674,70.0275897979736
630,genderNet_13,onnxruntime_cpu,41,71.3927412033081,69.431185722351,70.52829265594481,70.6317543983459
631,genderNet_13,onnxruntime_cpu,42,72.61976313590999,70.7329511642456,70.8348989486694,70.8716511726379
632,genderNet_13,onnxruntime_cpu,43,73.1993787288665,71.3987350463867,71.7573881149292,71.8358397483825
633,genderNet_13,onnxruntime_cpu,44,74.20180606842041,72.2246170043945,72.8773593902587,72.9294061660766
634,genderNet_13,onnxruntime_cpu,45,75.2306807041168,73.3627080917358,73.99425506591791,74.0447402000427
635,genderNet_13,onnxruntime_cpu,46,76.1931459903717,74.4915008544921,75.16942024230951,75.5143284797668
636,genderNet_13,onnxruntime_cpu,47,77.5690329074859,75.9545564651489,76.6835927963256,76.76024436950681
637,genderNet_13,onnxruntime_cpu,48,77.9054474830627,76.1507749557495,77.0390748977661,77.2096157073974
638,genderNet_13,onnxruntime_cpu,49,87.0595302581787,85.00528335571279,87.2650146484375,87.3265385627746
639,genderNet_13,onnxruntime_cpu,50,88.24853181838981,86.140751838684,88.4838342666625,88.56238126754761
