,model,accelerator,batch_size,avg_runtime,50th_pct_runtime,90th_pct_runtime,95th_pct_runtime
34,yolov5x,1080ti,64,2.012738306045530,1.9821282625198400,2.0723767042160000,2.0775967836380000
35,eb0_checkpoint_150epochs,1080ti,1,0.0030918631553649900,0.0030879974365234400,0.003099226951599120,0.003109467029571530
36,eb0_checkpoint_150epochs,1080ti,2,0.005393417835235600,0.004178762435913090,0.004185676574707030,0.004188311100006100
37,eb0_checkpoint_150epochs,1080ti,4,0.007855067729949950,0.0066988468170166000,0.0067081451416015600,0.0067119598388671900
38,eb0_checkpoint_150epochs,1080ti,8,0.012315689325332600,0.010862469673156700,0.011047792434692400,0.01198960542678830
39,eb0_checkpoint_150epochs,1080ti,16,0.021446902990341200,0.019318819046020500,0.021297478675842300,0.02130845785140990
40,eb0_checkpoint_150epochs,1080ti,32,0.04428832030296330,0.03738999366760250,0.03745083808898930,0.03748632669448850
41,eb0_checkpoint_150epochs,1080ti,64,0.07872925782203670,0.07104206085205080,0.07116415500640870,0.07119538784027100
42,eb1_checkpoint_150epochs,1080ti,1,0.004419708728790280,0.004411101341247560,0.004429149627685550,0.004450571537017820
43,eb1_checkpoint_150epochs,1080ti,2,0.007406588554382320,0.005576729774475100,0.0055844783782959000,0.005587577819824220
44,eb1_checkpoint_150epochs,1080ti,4,0.010300230264663700,0.008392810821533200,0.008402347564697270,0.00840616226196289
45,eb1_checkpoint_150epochs,1080ti,8,0.016753751277923600,0.014692544937133800,0.01471879482269290,0.014727354049682600
46,eb1_checkpoint_150epochs,1080ti,16,0.02922190999984740,0.026876449584960900,0.026921510696411100,0.026935386657714800
47,eb1_checkpoint_150epochs,1080ti,32,0.06143031048774720,0.05040252208709720,0.050464415550231900,0.050487053394317600
48,eb1_checkpoint_150epochs,1080ti,64,0.1081517333984380,0.09585988521575930,0.0961759328842163,0.09623100757598880
49,eb2_checkpoint_150epochs,1080ti,1,0.004411516427993780,0.004402875900268560,0.004417681694030760,0.004432022571563720
50,eb2_checkpoint_150epochs,1080ti,2,0.007961781978607180,0.005964994430541990,0.005972146987915040,0.005974781513214110
51,eb2_checkpoint_150epochs,1080ti,4,0.010838032007217400,0.008806705474853520,0.008818387985229490,0.008823871612548830
52,eb2_checkpoint_150epochs,1080ti,8,0.017849385023117100,0.01555323600769040,0.015581846237182600,0.015590202808380100
53,eb2_checkpoint_150epochs,1080ti,16,0.031122586011886600,0.028654813766479500,0.028691840171814000,0.028704452514648400
54,eb2_checkpoint_150epochs,1080ti,32,0.06403973221778870,0.0521007776260376,0.05214734077453610,0.052169406414032000
55,eb2_checkpoint_150epochs,1080ti,64,0.11405292510986300,0.10083603858947800,0.1010831356048580,0.10118582248687700
56,eb3_checkpoint_150epochs,1080ti,1,0.00529514741897583,0.005289316177368160,0.005297446250915530,0.005301237106323240
57,eb3_checkpoint_150epochs,1080ti,2,0.01012168264389040,0.00740814208984375,0.007416963577270510,0.00742030143737793
58,eb3_checkpoint_150epochs,1080ti,4,0.014140572309494000,0.011384963989257800,0.011396670341491700,0.011400699615478500
59,eb3_checkpoint_150epochs,1080ti,8,0.023055140733718900,0.020038604736328100,0.02006392478942870,0.02007819414138790
60,eb3_checkpoint_150epochs,1080ti,16,0.03954522967338560,0.03620350360870360,0.03624989986419680,0.036270391941070600
61,eb3_checkpoint_150epochs,1080ti,32,0.08364967775344850,0.06810617446899410,0.06816773414611820,0.06819419860839840
62,eb3_checkpoint_150epochs,1080ti,64,0.14846352767944300,0.1310901641845700,0.13182175159454300,0.1322956085205080
63,eb4_checkpoint_150epochs,1080ti,1,0.006873869657516480,0.00686955451965332,0.00687718391418457,0.006880533695220950
64,eb4_checkpoint_150epochs,1080ti,2,0.013706168174743700,0.009824037551879880,0.009833574295043950,0.009837162494659430
65,eb4_checkpoint_150epochs,1080ti,4,0.01914319968223570,0.015124320983886700,0.015138626098632800,0.015142929553985600
66,eb4_checkpoint_150epochs,1080ti,8,0.030972718477249100,0.026726961135864300,0.02676992416381840,0.026780128479003900
67,eb4_checkpoint_150epochs,1080ti,16,0.05347341394424440,0.04873359203338620,0.04877641201019290,0.04879450798034670
68,eb4_checkpoint_150epochs,1080ti,32,0.11426122403144800,0.09157931804656980,0.09178643226623540,0.09183958768844610
69,eb4_checkpoint_150epochs,1080ti,64,0.1998803539276120,0.17451441287994400,0.17566792964935300,0.17597017288208000
70,eb5_checkpoint_150epochs,1080ti,1,0.00929533839225769,0.009293317794799810,0.009302639961242680,0.009306907653808590
71,eb5_checkpoint_150epochs,1080ti,2,0.018792851686477700,0.013160467147827100,0.013171696662902800,0.013175737857818600
72,eb5_checkpoint_150epochs,1080ti,4,0.027184913158416700,0.0214155912399292,0.021448135375976600,0.02145916223526000
73,eb5_checkpoint_150epochs,1080ti,8,0.04301299023628240,0.03685295581817630,0.03688435554504400,0.036896002292633100
74,eb5_checkpoint_150epochs,1080ti,16,0.07294726824760440,0.0660548210144043,0.06639950275421140,0.06645878553390500
75,eb5_checkpoint_150epochs,1080ti,32,0.15580033206939700,0.1231464147567750,0.12364008426666300,0.12375863790512100
76,eb5_checkpoint_150epochs,1080ti,64,0.27680086517334000,0.24080407619476300,0.2424466848373410,0.24274656772613500
77,eb6_checkpoint_150epochs,1080ti,1,0.01186153531074520,0.011859893798828100,0.011870622634887700,0.011874449253082300
78,eb6_checkpoint_150epochs,1080ti,2,0.024682830333709700,0.01709437370300290,0.017175459861755400,0.01718188524246220
79,eb6_checkpoint_150epochs,1080ti,4,0.035109907865524300,0.027361750602722200,0.027393627166748000,0.027404320240020800
80,eb6_checkpoint_150epochs,1080ti,8,0.05590452766418460,0.04781365394592290,0.04788827896118160,0.04790117740631100
81,eb6_checkpoint_150epochs,1080ti,16,0.09591369080543520,0.0866473913192749,0.08717865943908690,0.08747254610061650
82,eb6_checkpoint_150epochs,1080ti,32,0.204427925825119,0.16165876388549800,0.1621927499771120,0.16235923767089800
83,eb6_checkpoint_150epochs,1080ti,64,0.36521496510505700,0.3175266981124880,0.3200660467147830,0.3206175327301030
84,vgg16,1080ti,1,0.07,0.07,0.08,0.09
